origin,destination,hour,origin_category,dest_category,multiplier,priority_weight,expected_trips,trips
Cunningham Hall,McCormick Tribune Campus Center,21,Residence,Student Center,0.2,0.75,1.2,1
Cunningham Hall,McCormick Tribune Campus Center,22,Residence,Student Center,0.2,0.75,1.2,0
Cunningham Hall,Paul Galvin Library,7,Residence,Library,0.1,0.75,0.6,0
Cunningham Hall,Paul Galvin Library,8,Residence,Library,0.1,0.75,0.6,0
Cunningham Hall,Paul Galvin Library,9,Residence,Library,0.1,0.75,0.6,0
Cunningham Hall,Paul Galvin Library,10,Residence,Library,0.6,0.75,3.6,1
Cunningham Hall,Paul Galvin Library,11,Residence,Library,0.6,0.75,3.6,3
Cunningham Hall,Paul Galvin Library,12,Residence,Library,0.6,0.75,3.6,4
Cunningham Hall,Paul Galvin Library,13,Residence,Library,0.6,0.75,3.6,2
Cunningham Hall,Paul Galvin Library,14,Residence,Library,0.6,0.75,3.6,5
Cunningham Hall,Paul Galvin Library,15,Residence,Library,0.6,0.75,3.6,3
Cunningham Hall,Paul Galvin Library,16,Residence,Library,0.6,0.75,3.6,7
Cunningham Hall,Paul Galvin Library,17,Residence,Library,0.6,0.75,3.6,2
Cunningham Hall,Paul Galvin Library,18,Residence,Library,0.6,0.75,3.6,2
Cunningham Hall,Paul Galvin Library,19,Residence,Library,0.6,0.75,3.6,2
Cunningham Hall,Paul Galvin Library,20,Residence,Library,0.6,0.75,3.6,2
Cunningham Hall,Paul Galvin Library,21,Residence,Library,0.6,0.75,3.6,2
Cunningham Hall,Paul Galvin Library,22,Residence,Library,0.6,0.75,3.6,6
Cunningham Hall,Perlstein Hall,7,Residence,Academic,1.0,0.75,6.0,7
Cunningham Hall,Perlstein Hall,8,Residence,Academic,1.0,0.75,6.0,2
Cunningham Hall,Perlstein Hall,9,Residence,Academic,1.0,0.75,6.0,4
Cunningham Hall,Perlstein Hall,10,Residence,Academic,0.3,0.75,1.8,0
Cunningham Hall,Perlstein Hall,11,Residence,Academic,0.3,0.75,1.8,2
Cunningham Hall,Perlstein Hall,12,Residence,Academic,0.1,0.75,0.6,2
Cunningham Hall,Perlstein Hall,13,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Perlstein Hall,14,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Perlstein Hall,15,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Perlstein Hall,16,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Perlstein Hall,17,Residence,Academic,0.1,0.75,0.6,3
Cunningham Hall,Perlstein Hall,18,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Perlstein Hall,19,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Perlstein Hall,20,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Perlstein Hall,21,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Perlstein Hall,22,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Pritzker Science Center,7,Residence,Academic,1.0,0.75,6.0,5
Cunningham Hall,Pritzker Science Center,8,Residence,Academic,1.0,0.75,6.0,4
Cunningham Hall,Pritzker Science Center,9,Residence,Academic,1.0,0.75,6.0,7
Cunningham Hall,Pritzker Science Center,10,Residence,Academic,0.3,0.75,1.8,1
Cunningham Hall,Pritzker Science Center,11,Residence,Academic,0.3,0.75,1.8,1
Cunningham Hall,Pritzker Science Center,12,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Pritzker Science Center,13,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Pritzker Science Center,14,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Pritzker Science Center,15,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Pritzker Science Center,16,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Pritzker Science Center,17,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Pritzker Science Center,18,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Pritzker Science Center,19,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Pritzker Science Center,20,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,Pritzker Science Center,21,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Pritzker Science Center,22,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,Rowe Village Middle,7,Residence,Residence,0.2,0.5625,0.9,4
Cunningham Hall,Rowe Village Middle,8,Residence,Residence,0.5,0.5625,2.25,3
Cunningham Hall,Rowe Village Middle,9,Residence,Residence,0.5,0.5625,2.25,1
Cunningham Hall,Rowe Village Middle,10,Residence,Residence,0.5,0.5625,2.25,4
Cunningham Hall,Rowe Village Middle,11,Residence,Residence,0.5,0.5625,2.25,1
Cunningham Hall,Rowe Village Middle,12,Residence,Residence,0.5,0.5625,2.25,1
Cunningham Hall,Rowe Village Middle,13,Residence,Residence,0.5,0.5625,2.25,1
Cunningham Hall,Rowe Village Middle,14,Residence,Residence,0.5,0.5625,2.25,4
Cunningham Hall,Rowe Village Middle,15,Residence,Residence,0.5,0.5625,2.25,3
Cunningham Hall,Rowe Village Middle,16,Residence,Residence,0.5,0.5625,2.25,5
Cunningham Hall,Rowe Village Middle,17,Residence,Residence,0.5,0.5625,2.25,1
Cunningham Hall,Rowe Village Middle,18,Residence,Residence,0.5,0.5625,2.25,2
Cunningham Hall,Rowe Village Middle,19,Residence,Residence,0.2,0.5625,0.9,3
Cunningham Hall,Rowe Village Middle,20,Residence,Residence,0.2,0.5625,0.9,1
Cunningham Hall,Rowe Village Middle,21,Residence,Residence,0.2,0.5625,0.9,1
Cunningham Hall,Rowe Village Middle,22,Residence,Residence,0.2,0.5625,0.9,1
Cunningham Hall,S.R. Crown Hall,7,Residence,Academic,1.0,0.75,6.0,9
Cunningham Hall,S.R. Crown Hall,8,Residence,Academic,1.0,0.75,6.0,10
Cunningham Hall,S.R. Crown Hall,9,Residence,Academic,1.0,0.75,6.0,8
Cunningham Hall,S.R. Crown Hall,10,Residence,Academic,0.3,0.75,1.8,3
Cunningham Hall,S.R. Crown Hall,11,Residence,Academic,0.3,0.75,1.8,1
Cunningham Hall,S.R. Crown Hall,12,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,S.R. Crown Hall,13,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,S.R. Crown Hall,14,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,S.R. Crown Hall,15,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,S.R. Crown Hall,16,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,S.R. Crown Hall,17,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,S.R. Crown Hall,18,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,S.R. Crown Hall,19,Residence,Academic,0.1,0.75,0.6,1
Cunningham Hall,S.R. Crown Hall,20,Residence,Academic,0.1,0.75,0.6,3
Cunningham Hall,S.R. Crown Hall,21,Residence,Academic,0.1,0.75,0.6,0
Cunningham Hall,S.R. Crown Hall,22,Residence,Academic,0.1,0.75,0.6,2
Cunningham Hall,The Commons,7,Residence,Dining,0.5,0.75,3.0,4
Cunningham Hall,The Commons,8,Residence,Dining,0.5,0.75,3.0,2
Cunningham Hall,The Commons,9,Residence,Dining,0.5,0.75,3.0,1
Cunningham Hall,The Commons,10,Residence,Dining,0.2,0.75,1.2,1
Cunningham Hall,The Commons,11,Residence,Dining,1.0,0.75,6.0,3
Cunningham Hall,The Commons,12,Residence,Dining,1.0,0.75,6.0,5
Cunningham Hall,The Commons,13,Residence,Dining,1.0,0.75,6.0,4
Cunningham Hall,The Commons,14,Residence,Dining,0.2,0.75,1.2,1
Cunningham Hall,The Commons,15,Residence,Dining,0.2,0.75,1.2,0
Cunningham Hall,The Commons,16,Residence,Dining,0.2,0.75,1.2,0
Cunningham Hall,The Commons,17,Residence,Dining,1.0,0.75,6.0,10
Cunningham Hall,The Commons,18,Residence,Dining,1.0,0.75,6.0,7
Cunningham Hall,The Commons,19,Residence,Dining,1.0,0.75,6.0,9
Cunningham Hall,The Commons,20,Residence,Dining,0.2,0.75,1.2,1
Cunningham Hall,The Commons,21,Residence,Dining,0.2,0.75,1.2,0
Cunningham Hall,The Commons,22,Residence,Dining,0.2,0.75,1.2,1
Farr Hall,Alpha Sigma Phi,7,Residence,Greek Housing,0.2,0.1875,0.3,1
Farr Hall,Alpha Sigma Phi,8,Residence,Greek Housing,0.5,0.1875,0.75,0
Farr Hall,Alpha Sigma Phi,9,Residence,Greek Housing,0.5,0.1875,0.75,1
Farr Hall,Alpha Sigma Phi,10,Residence,Greek Housing,0.5,0.1875,0.75,0
Farr Hall,Alpha Sigma Phi,11,Residence,Greek Housing,0.5,0.1875,0.75,1
Farr Hall,Alpha Sigma Phi,12,Residence,Greek Housing,0.5,0.1875,0.75,1
Farr Hall,Alpha Sigma Phi,13,Residence,Greek Housing,0.5,0.1875,0.75,0
Farr Hall,Alpha Sigma Phi,14,Residence,Greek Housing,0.5,0.1875,0.75,1
Farr Hall,Alpha Sigma Phi,15,Residence,Greek Housing,0.5,0.1875,0.75,0
Farr Hall,Alpha Sigma Phi,16,Residence,Greek Housing,0.5,0.1875,0.75,0
Farr Hall,Alpha Sigma Phi,17,Residence,Greek Housing,0.5,0.1875,0.75,0
Farr Hall,Alpha Sigma Phi,18,Residence,Greek Housing,0.5,0.1875,0.75,1
Farr Hall,Alpha Sigma Phi,19,Residence,Greek Housing,0.2,0.1875,0.3,1
Farr Hall,Alpha Sigma Phi,20,Residence,Greek Housing,0.2,0.1875,0.3,0
Farr Hall,Alpha Sigma Phi,21,Residence,Greek Housing,0.2,0.1875,0.3,1
Farr Hall,Alpha Sigma Phi,22,Residence,Greek Housing,0.2,0.1875,0.3,1
Farr Hall,Arthur S. Keating Sports Center,7,Residence,Recreation,0.2,0.5625,0.9,1
Farr Hall,Arthur S. Keating Sports Center,8,Residence,Recreation,0.2,0.5625,0.9,0
Farr Hall,Arthur S. Keating Sports Center,9,Residence,Recreation,0.2,0.5625,0.9,2
Farr Hall,Arthur S. Keating Sports Center,10,Residence,Recreation,0.2,0.5625,0.9,0
Farr Hall,Arthur S. Keating Sports Center,11,Residence,Recreation,0.2,0.5625,0.9,3
Farr Hall,Arthur S. Keating Sports Center,12,Residence,Recreation,0.2,0.5625,0.9,2
Farr Hall,Arthur S. Keating Sports Center,13,Residence,Recreation,0.2,0.5625,0.9,0
Farr Hall,Arthur S. Keating Sports Center,14,Residence,Recreation,0.2,0.5625,0.9,2
Farr Hall,Arthur S. Keating Sports Center,15,Residence,Recreation,0.7,0.5625,3.15,4
Farr Hall,Arthur S. Keating Sports Center,16,Residence,Recreation,0.7,0.5625,3.15,2
Farr Hall,Arthur S. Keating Sports Center,17,Residence,Recreation,0.7,0.5625,3.15,1
Farr Hall,Arthur S. Keating Sports Center,18,Residence,Recreation,0.7,0.5625,3.15,4
Farr Hall,Arthur S. Keating Sports Center,19,Residence,Recreation,0.7,0.5625,3.15,4
Farr Hall,Arthur S. Keating Sports Center,20,Residence,Recreation,0.7,0.5625,3.15,1
Farr Hall,Arthur S. Keating Sports Center,21,Residence,Recreation,0.7,0.5625,3.15,4
Farr Hall,Arthur S. Keating Sports Center,22,Residence,Recreation,0.2,0.5625,0.9,1
Farr Hall,Chemistry Research Building,7,Residence,Academic,1.0,0.5625,4.5,3
Farr Hall,Chemistry Research Building,8,Residence,Academic,1.0,0.5625,4.5,4
Farr Hall,Chemistry Research Building,9,Residence,Academic,1.0,0.5625,4.5,2
Farr Hall,Chemistry Research Building,10,Residence,Academic,0.3,0.5625,1.35,0
Farr Hall,Chemistry Research Building,11,Residence,Academic,0.3,0.5625,1.35,1
Farr Hall,Chemistry Research Building,12,Residence,Academic,0.1,0.5625,0.45,0
Farr Hall,Chemistry Research Building,13,Residence,Academic,0.1,0.5625,0.45,0
Farr Hall,Chemistry Research Building,14,Residence,Academic,0.1,0.5625,0.45,0
Farr Hall,Chemistry Research Building,15,Residence,Academic,0.1,0.5625,0.45,0
Farr Hall,Chemistry Research Building,16,Residence,Academic,0.1,0.5625,0.45,0
Farr Hall,Chemistry Research Building,17,Residence,Academic,0.1,0.5625,0.45,1
Farr Hall,Chemistry Research Building,18,Residence,Academic,0.1,0.5625,0.45,1
Farr Hall,Chemistry Research Building,19,Residence,Academic,0.1,0.5625,0.45,1
Farr Hall,Chemistry Research Building,20,Residence,Academic,0.1,0.5625,0.45,0
Farr Hall,Chemistry Research Building,21,Residence,Academic,0.1,0.5625,0.45,1
Farr Hall,Chemistry Research Building,22,Residence,Academic,0.1,0.5625,0.45,0
Farr Hall,Cunningham Hall,7,Residence,Residence,0.2,0.5625,0.9,2
Farr Hall,Cunningham Hall,8,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Cunningham Hall,9,Residence,Residence,0.5,0.5625,2.25,3
Farr Hall,Cunningham Hall,10,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Cunningham Hall,11,Residence,Residence,0.5,0.5625,2.25,4
Farr Hall,Cunningham Hall,12,Residence,Residence,0.5,0.5625,2.25,4
Farr Hall,Cunningham Hall,13,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Cunningham Hall,14,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Cunningham Hall,15,Residence,Residence,0.5,0.5625,2.25,3
Farr Hall,Cunningham Hall,16,Residence,Residence,0.5,0.5625,2.25,6
Farr Hall,Cunningham Hall,17,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Cunningham Hall,18,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Cunningham Hall,19,Residence,Residence,0.2,0.5625,0.9,2
Farr Hall,Cunningham Hall,20,Residence,Residence,0.2,0.5625,0.9,0
Farr Hall,Cunningham Hall,21,Residence,Residence,0.2,0.5625,0.9,2
Farr Hall,Cunningham Hall,22,Residence,Residence,0.2,0.5625,0.9,1
Farr Hall,Grover M. Herman Hall,7,Residence,Admin,0.2,0.375,0.6,0
Farr Hall,Grover M. Herman Hall,8,Residence,Admin,0.5,0.375,1.5,2
Farr Hall,Grover M. Herman Hall,9,Residence,Admin,0.5,0.375,1.5,2
Farr Hall,Grover M. Herman Hall,10,Residence,Admin,0.5,0.375,1.5,0
Farr Hall,Grover M. Herman Hall,11,Residence,Admin,0.5,0.375,1.5,0
Farr Hall,Grover M. Herman Hall,12,Residence,Admin,0.5,0.375,1.5,2
Farr Hall,Grover M. Herman Hall,13,Residence,Admin,0.5,0.375,1.5,2
Farr Hall,Grover M. Herman Hall,14,Residence,Admin,0.5,0.375,1.5,2
Farr Hall,Grover M. Herman Hall,15,Residence,Admin,0.5,0.375,1.5,1
Farr Hall,Grover M. Herman Hall,16,Residence,Admin,0.5,0.375,1.5,2
Farr Hall,Grover M. Herman Hall,17,Residence,Admin,0.5,0.375,1.5,0
Farr Hall,Grover M. Herman Hall,18,Residence,Admin,0.5,0.375,1.5,0
Farr Hall,Grover M. Herman Hall,19,Residence,Admin,0.2,0.375,0.6,0
Farr Hall,Grover M. Herman Hall,20,Residence,Admin,0.2,0.375,0.6,0
Farr Hall,Grover M. Herman Hall,21,Residence,Admin,0.2,0.375,0.6,0
Farr Hall,Grover M. Herman Hall,22,Residence,Admin,0.2,0.375,0.6,4
Farr Hall,Kaplan Institute,7,Residence,Academic,1.0,0.75,6.0,10
Farr Hall,Kaplan Institute,8,Residence,Academic,1.0,0.75,6.0,11
Farr Hall,Kaplan Institute,9,Residence,Academic,1.0,0.75,6.0,8
Farr Hall,Kaplan Institute,10,Residence,Academic,0.3,0.75,1.8,0
Farr Hall,Kaplan Institute,11,Residence,Academic,0.3,0.75,1.8,2
Farr Hall,Kaplan Institute,12,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Kaplan Institute,13,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Kaplan Institute,14,Residence,Academic,0.1,0.75,0.6,2
Farr Hall,Kaplan Institute,15,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Kaplan Institute,16,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Kaplan Institute,17,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Kaplan Institute,18,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Kaplan Institute,19,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Kaplan Institute,20,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Kaplan Institute,21,Residence,Academic,0.1,0.75,0.6,2
Farr Hall,Kaplan Institute,22,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Main Building,7,Residence,Academic,1.0,0.75,6.0,9
Farr Hall,Main Building,8,Residence,Academic,1.0,0.75,6.0,5
Farr Hall,Main Building,9,Residence,Academic,1.0,0.75,6.0,2
Farr Hall,Main Building,10,Residence,Academic,0.3,0.75,1.8,1
Farr Hall,Main Building,11,Residence,Academic,0.3,0.75,1.8,2
Farr Hall,Main Building,12,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Main Building,13,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Main Building,14,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Main Building,15,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Main Building,16,Residence,Academic,0.1,0.75,0.6,3
Farr Hall,Main Building,17,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Main Building,18,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Main Building,19,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Main Building,20,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Main Building,21,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Main Building,22,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,McCormick Student Village,7,Residence,Residence,0.2,0.75,1.2,0
Farr Hall,McCormick Student Village,8,Residence,Residence,0.5,0.75,3.0,2
Farr Hall,McCormick Student Village,9,Residence,Residence,0.5,0.75,3.0,5
Farr Hall,McCormick Student Village,10,Residence,Residence,0.5,0.75,3.0,3
Farr Hall,McCormick Student Village,11,Residence,Residence,0.5,0.75,3.0,2
Farr Hall,McCormick Student Village,12,Residence,Residence,0.5,0.75,3.0,2
Farr Hall,McCormick Student Village,13,Residence,Residence,0.5,0.75,3.0,2
Farr Hall,McCormick Student Village,14,Residence,Residence,0.5,0.75,3.0,3
Farr Hall,McCormick Student Village,15,Residence,Residence,0.5,0.75,3.0,1
Farr Hall,McCormick Student Village,16,Residence,Residence,0.5,0.75,3.0,6
Farr Hall,McCormick Student Village,17,Residence,Residence,0.5,0.75,3.0,4
Farr Hall,McCormick Student Village,18,Residence,Residence,0.5,0.75,3.0,6
Farr Hall,McCormick Student Village,19,Residence,Residence,0.2,0.75,1.2,1
Farr Hall,McCormick Student Village,20,Residence,Residence,0.2,0.75,1.2,2
Farr Hall,McCormick Student Village,21,Residence,Residence,0.2,0.75,1.2,3
Farr Hall,McCormick Student Village,22,Residence,Residence,0.2,0.75,1.2,0
Farr Hall,McCormick Tribune Campus Center,7,Residence,Student Center,0.2,0.75,1.2,1
Farr Hall,McCormick Tribune Campus Center,8,Residence,Student Center,0.5,0.75,3.0,3
Farr Hall,McCormick Tribune Campus Center,9,Residence,Student Center,0.5,0.75,3.0,6
Farr Hall,McCormick Tribune Campus Center,10,Residence,Student Center,0.5,0.75,3.0,6
Farr Hall,McCormick Tribune Campus Center,11,Residence,Student Center,0.5,0.75,3.0,5
Farr Hall,McCormick Tribune Campus Center,12,Residence,Student Center,0.5,0.75,3.0,4
Farr Hall,McCormick Tribune Campus Center,13,Residence,Student Center,0.5,0.75,3.0,3
Farr Hall,McCormick Tribune Campus Center,14,Residence,Student Center,0.5,0.75,3.0,1
Farr Hall,McCormick Tribune Campus Center,15,Residence,Student Center,0.5,0.75,3.0,4
Farr Hall,McCormick Tribune Campus Center,16,Residence,Student Center,0.5,0.75,3.0,3
Farr Hall,McCormick Tribune Campus Center,17,Residence,Student Center,0.5,0.75,3.0,4
Farr Hall,McCormick Tribune Campus Center,18,Residence,Student Center,0.5,0.75,3.0,2
Farr Hall,McCormick Tribune Campus Center,19,Residence,Student Center,0.2,0.75,1.2,1
Farr Hall,McCormick Tribune Campus Center,20,Residence,Student Center,0.2,0.75,1.2,1
Farr Hall,McCormick Tribune Campus Center,21,Residence,Student Center,0.2,0.75,1.2,3
Farr Hall,McCormick Tribune Campus Center,22,Residence,Student Center,0.2,0.75,1.2,2
Farr Hall,Paul Galvin Library,7,Residence,Library,0.1,0.75,0.6,1
Farr Hall,Paul Galvin Library,8,Residence,Library,0.1,0.75,0.6,1
Farr Hall,Paul Galvin Library,9,Residence,Library,0.1,0.75,0.6,1
Farr Hall,Paul Galvin Library,10,Residence,Library,0.6,0.75,3.6,3
Farr Hall,Paul Galvin Library,11,Residence,Library,0.6,0.75,3.6,2
Farr Hall,Paul Galvin Library,12,Residence,Library,0.6,0.75,3.6,4
Farr Hall,Paul Galvin Library,13,Residence,Library,0.6,0.75,3.6,1
Farr Hall,Paul Galvin Library,14,Residence,Library,0.6,0.75,3.6,5
Farr Hall,Paul Galvin Library,15,Residence,Library,0.6,0.75,3.6,2
Farr Hall,Paul Galvin Library,16,Residence,Library,0.6,0.75,3.6,3
Farr Hall,Paul Galvin Library,17,Residence,Library,0.6,0.75,3.6,3
Farr Hall,Paul Galvin Library,18,Residence,Library,0.6,0.75,3.6,5
Farr Hall,Paul Galvin Library,19,Residence,Library,0.6,0.75,3.6,2
Farr Hall,Paul Galvin Library,20,Residence,Library,0.6,0.75,3.6,5
Farr Hall,Paul Galvin Library,21,Residence,Library,0.6,0.75,3.6,2
Farr Hall,Paul Galvin Library,22,Residence,Library,0.6,0.75,3.6,3
Farr Hall,Perlstein Hall,7,Residence,Academic,1.0,0.75,6.0,3
Farr Hall,Perlstein Hall,8,Residence,Academic,1.0,0.75,6.0,8
Farr Hall,Perlstein Hall,9,Residence,Academic,1.0,0.75,6.0,8
Farr Hall,Perlstein Hall,10,Residence,Academic,0.3,0.75,1.8,0
Farr Hall,Perlstein Hall,11,Residence,Academic,0.3,0.75,1.8,1
Farr Hall,Perlstein Hall,12,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Perlstein Hall,13,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Perlstein Hall,14,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Perlstein Hall,15,Residence,Academic,0.1,0.75,0.6,2
Farr Hall,Perlstein Hall,16,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Perlstein Hall,17,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Perlstein Hall,18,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Perlstein Hall,19,Residence,Academic,0.1,0.75,0.6,2
Farr Hall,Perlstein Hall,20,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Perlstein Hall,21,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Perlstein Hall,22,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Pritzker Science Center,7,Residence,Academic,1.0,0.75,6.0,6
Farr Hall,Pritzker Science Center,8,Residence,Academic,1.0,0.75,6.0,3
Farr Hall,Pritzker Science Center,9,Residence,Academic,1.0,0.75,6.0,3
Farr Hall,Pritzker Science Center,10,Residence,Academic,0.3,0.75,1.8,3
Farr Hall,Pritzker Science Center,11,Residence,Academic,0.3,0.75,1.8,0
Farr Hall,Pritzker Science Center,12,Residence,Academic,0.1,0.75,0.6,3
Farr Hall,Pritzker Science Center,13,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Pritzker Science Center,14,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Pritzker Science Center,15,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Pritzker Science Center,16,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Pritzker Science Center,17,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Pritzker Science Center,18,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Pritzker Science Center,19,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,Pritzker Science Center,20,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Pritzker Science Center,21,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Pritzker Science Center,22,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,Rowe Village Middle,7,Residence,Residence,0.2,0.5625,0.9,3
Farr Hall,Rowe Village Middle,8,Residence,Residence,0.5,0.5625,2.25,3
Farr Hall,Rowe Village Middle,9,Residence,Residence,0.5,0.5625,2.25,3
Farr Hall,Rowe Village Middle,10,Residence,Residence,0.5,0.5625,2.25,3
Farr Hall,Rowe Village Middle,11,Residence,Residence,0.5,0.5625,2.25,2
Farr Hall,Rowe Village Middle,12,Residence,Residence,0.5,0.5625,2.25,2
Farr Hall,Rowe Village Middle,13,Residence,Residence,0.5,0.5625,2.25,3
Farr Hall,Rowe Village Middle,14,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Rowe Village Middle,15,Residence,Residence,0.5,0.5625,2.25,0
Farr Hall,Rowe Village Middle,16,Residence,Residence,0.5,0.5625,2.25,3
Farr Hall,Rowe Village Middle,17,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Rowe Village Middle,18,Residence,Residence,0.5,0.5625,2.25,1
Farr Hall,Rowe Village Middle,19,Residence,Residence,0.2,0.5625,0.9,0
Farr Hall,Rowe Village Middle,20,Residence,Residence,0.2,0.5625,0.9,1
Farr Hall,Rowe Village Middle,21,Residence,Residence,0.2,0.5625,0.9,0
Farr Hall,Rowe Village Middle,22,Residence,Residence,0.2,0.5625,0.9,0
Farr Hall,S.R. Crown Hall,7,Residence,Academic,1.0,0.75,6.0,10
Farr Hall,S.R. Crown Hall,8,Residence,Academic,1.0,0.75,6.0,10
Farr Hall,S.R. Crown Hall,9,Residence,Academic,1.0,0.75,6.0,5
Farr Hall,S.R. Crown Hall,10,Residence,Academic,0.3,0.75,1.8,0
Farr Hall,S.R. Crown Hall,11,Residence,Academic,0.3,0.75,1.8,0
Farr Hall,S.R. Crown Hall,12,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,S.R. Crown Hall,13,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,S.R. Crown Hall,14,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,S.R. Crown Hall,15,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,S.R. Crown Hall,16,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,S.R. Crown Hall,17,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,S.R. Crown Hall,18,Residence,Academic,0.1,0.75,0.6,1
Farr Hall,S.R. Crown Hall,19,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,S.R. Crown Hall,20,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,S.R. Crown Hall,21,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,S.R. Crown Hall,22,Residence,Academic,0.1,0.75,0.6,0
Farr Hall,The Commons,7,Residence,Dining,0.5,0.75,3.0,2
Farr Hall,The Commons,8,Residence,Dining,0.5,0.75,3.0,2
Farr Hall,The Commons,9,Residence,Dining,0.5,0.75,3.0,5
Farr Hall,The Commons,10,Residence,Dining,0.2,0.75,1.2,2
Farr Hall,The Commons,11,Residence,Dining,1.0,0.75,6.0,7
Farr Hall,The Commons,12,Residence,Dining,1.0,0.75,6.0,5
Farr Hall,The Commons,13,Residence,Dining,1.0,0.75,6.0,3
Farr Hall,The Commons,14,Residence,Dining,0.2,0.75,1.2,1
Farr Hall,The Commons,15,Residence,Dining,0.2,0.75,1.2,1
Farr Hall,The Commons,16,Residence,Dining,0.2,0.75,1.2,2
Farr Hall,The Commons,17,Residence,Dining,1.0,0.75,6.0,5
